,GEO_ID,NAME,Num_HH,Med_Inc_HH
125,1400000US17031080100,"Census Tract 801, Cook County, Illinois",3760,78973
126,1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",2430,76822
127,1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",2174,83382
128,1400000US17031080300,"Census Tract 803, Cook County, Illinois",2534,89188
129,1400000US17031080400,"Census Tract 804, Cook County, Illinois",2006,18023
130,1400000US17031081000,"Census Tract 810, Cook County, Illinois",4477,45439
131,1400000US17031081100,"Census Tract 811, Cook County, Illinois",2589,55704
132,1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",2352,81450
133,1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",1878,75100
134,1400000US17031081300,"Census Tract 813, Cook County, Illinois",3480,94500
135,1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",1475,79276
136,1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",2513,96929
137,1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",3793,82524
138,1400000US17031081500,"Census Tract 815, Cook County, Illinois",2873,82591
139,1400000US17031081600,"Census Tract 816, Cook County, Illinois",2277,80897
140,1400000US17031081700,"Census Tract 817, Cook County, Illinois",1566,86711
141,1400000US17031081800,"Census Tract 818, Cook County, Illinois",3835,108482
142,1400000US17031081900,"Census Tract 819, Cook County, Illinois",584,75250
143,1400000US17031090100,"Census Tract 901, Cook County, Illinois",1294,80556
144,1400000US17031090200,"Census Tract 902, Cook County, Illinois",2848,78019
145,1400000US17031090300,"Census Tract 903, Cook County, Illinois",575,84604
146,1400000US17031100100,"Census Tract 1001, Cook County, Illinois",2202,54632
147,1400000US17031100200,"Census Tract 1002, Cook County, Illinois",2930,70438
148,1400000US17031100300,"Census Tract 1003, Cook County, Illinois",2543,65531
149,1400000US17031100400,"Census Tract 1004, Cook County, Illinois",1237,82060
150,1400000US17031100500,"Census Tract 1005, Cook County, Illinois",2211,73288
151,1400000US17031100600,"Census Tract 1006, Cook County, Illinois",1825,55948
152,1400000US17031100700,"Census Tract 1007, Cook County, Illinois",1857,67188
153,1400000US17031110100,"Census Tract 1101, Cook County, Illinois",1957,59519
154,1400000US17031110200,"Census Tract 1102, Cook County, Illinois",1145,55798
155,1400000US17031110300,"Census Tract 1103, Cook County, Illinois",1865,69336
156,1400000US17031110400,"Census Tract 1104, Cook County, Illinois",1938,53750
157,1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",1722,76051
158,1400000US17031110502,"Census Tract 1105.02, Cook County, Illinois",1439,51571
159,1400000US17031120100,"Census Tract 1201, Cook County, Illinois",1547,100828
160,1400000US17031120200,"Census Tract 1202, Cook County, Illinois",1591,89005
161,1400000US17031120300,"Census Tract 1203, Cook County, Illinois",2387,99543
162,1400000US17031120400,"Census Tract 1204, Cook County, Illinois",1274,65417
163,1400000US17031130100,"Census Tract 1301, Cook County, Illinois",1853,46612
164,1400000US17031130200,"Census Tract 1302, Cook County, Illinois",651,58550
165,1400000US17031130300,"Census Tract 1303, Cook County, Illinois",1809,55727
166,1400000US17031140100,"Census Tract 1401, Cook County, Illinois",1071,35013
167,1400000US17031140200,"Census Tract 1402, Cook County, Illinois",1745,41821
168,1400000US17031140301,"Census Tract 1403.01, Cook County, Illinois",737,55707
169,1400000US17031140302,"Census Tract 1403.02, Cook County, Illinois",1412,56530
170,1400000US17031140400,"Census Tract 1404, Cook County, Illinois",2257,45208
171,1400000US17031140500,"Census Tract 1405, Cook County, Illinois",1339,47113
172,1400000US17031140601,"Census Tract 1406.01, Cook County, Illinois",907,45817
173,1400000US17031140602,"Census Tract 1406.02, Cook County, Illinois",1658,39009
174,1400000US17031140701,"Census Tract 1407.01, Cook County, Illinois",866,42366
175,1400000US17031140702,"Census Tract 1407.02, Cook County, Illinois",1941,38850
176,1400000US17031140800,"Census Tract 1408, Cook County, Illinois",2728,62375
177,1400000US17031150200,"Census Tract 1502, Cook County, Illinois",3034,46425
178,1400000US17031150300,"Census Tract 1503, Cook County, Illinois",2761,51215
179,1400000US17031150401,"Census Tract 1504.01, Cook County, Illinois",1808,54375
